Subsequence,Frequency,Rank
C(=O)CC[,5,3639
C(=O)CC[C,5,3640
C(=O)CC[C@,5,3641
(=O)CC[,5,3642
(=O)CC[C,5,3643
(=O)CC[C@,5,3644
[C@H]3CC[,5,3645
[C@H]3CC[C,5,3646
C@H]3CC[,5,3647
C@H]3CC[C,5,3648
C@H]3CC[C@,5,3649
CC[C@]2,5,3650
1ccc(O)c(O,5,3651
c(O)c(O)c1,5,3652
(O)c(O)c1,5,3653
O)c(O)c1,5,3654
)c(O)c1,5,3655
CC(C)(C)N,5,3656
CC(C)(C)NC,5,3657
C(C)(C)N,5,3658
C(C)(C)NC,5,3659
C(C)(C)NC[,5,3660
(C)(C)N,5,3661
(C)(C)NC,5,3662
(C)(C)NC[,5,3663
(C)(C)NC[C,5,3664
C)(C)N,5,3665
C)(C)NC,5,3666
C)(C)NC[,5,3667
C)(C)NC[C,5,3668
C)(C)NC[C@,5,3669
)(C)N,5,3670
)(C)NC,5,3671
)(C)NC[,5,3672
)(C)NC[C,5,3673
)(C)NC[C@,5,3674
(C)NC[C@H,5,3675
(C)NC[C@H],5,3676
C)NC[C@H,5,3677
C)NC[C@H],5,3678
C)NC[C@H](,5,3679
)NC[C@H,5,3680
)NC[C@H],5,3681
)NC[C@H](,5,3682
)NC[C@H](O,5,3683
nc1N,5,3684
1CCO,5,3685
1CCOC,5,3686
OCCO,5,3687
CCOC(=O)C1,5,3688
[C@@H]1CC[,5,3689
C@@H]1CC[,5,3690
C@@H]1CC[C,5,3691
@@H]1CC[,5,3692
@@H]1CC[C,5,3693
@@H]1CC[C@,5,3694
@H]1CC[C@H,5,3695
H]1CC[C@H,5,3696
H]1CC[C@H],5,3697
]1CC[C@H,5,3698
]1CC[C@H],5,3699
=O)CC[C@@,5,3700
[C@@]4(C,5,3701
C@@]4(C,5,3702
@@]4(C,5,3703
@]4(C),5,3704
]4(C),5,3705
4(C),5,3706
C(=O)c1cc(,5,3707
2ccc(N,5,3708
cc(NC(=O)N,5,3709
c(NC(=O)N,5,3710
(NC(=O)N,5,3711
C(=O)Nc3cc,5,3712
(=O)Nc3cc,5,3713
(=O)Nc3ccc,5,3714
=O)Nc3cc,5,3715
=O)Nc3ccc,5,3716
O)Nc3cc,5,3717
O)Nc3ccc,5,3718
)Nc3cc,5,3719
)Nc3ccc,5,3720
c3ccc(C,5,3721
3ccc(C,5,3722
c(Cl)c(,5,3723
(Cl)c(,5,3724
cn1,5,3725
OCC(,5,3726
CC(C)C,5,3727
)[C@@H]1c,5,3728
)[C@@H]1c1,5,3729
1c1ccccc,5,3730
1c1ccccc1,5,3731
3ccccc3)C(,5,3732
ccccc3)C(,5,3733
ccccc3)C(=,5,3734
cccc3)C(,5,3735
cccc3)C(=,5,3736
cccc3)C(=O,5,3737
ccc3)C(,5,3738
ccc3)C(=,5,3739
ccc3)C(=O,5,3740
ccc3)C(=O),5,3741
cc3)C(,5,3742
cc3)C(=,5,3743
cc3)C(=O,5,3744
cc3)C(=O),5,3745
cc3)C(=O)N,5,3746
c3)C(,5,3747
c3)C(=,5,3748
c3)C(=O,5,3749
c3)C(=O),5,3750
c3)C(=O)N,5,3751
ccc(OC(,5,3752
cc(OC(=,5,3753
cc(OC(=O,5,3754
cc(OC(=O),5,3755
C(C)(C)C),5,3756
(C)(C)C),5,3757
C)(C)C),5,3758
)(C)C),5,3759
C)c(O,5,3760
C)c(OC,5,3761
=C(C(=O)O),5,3762
C(C(=O)O)N,5,3763
(C(=O)O)N,5,3764
(C(=O)O)N2,5,3765
C(=O)O)N,5,3766
C(=O)O)N2,5,3767
C(=O)O)N2C,5,3768
(=O)O)N,5,3769
(=O)O)N2,5,3770
(=O)O)N2C,5,3771
(=O)O)N2C(,5,3772
=O)O)N,5,3773
=O)O)N2,5,3774
=O)O)N2C,5,3775
=O)O)N2C(,5,3776
=O)O)N2C(=,5,3777
O)O)N,5,3778
O)O)N2,5,3779
O)O)N2C,5,3780
O)O)N2C(,5,3781
O)O)N2C(=,5,3782
O)O)N2C(=O,5,3783
)O)N,5,3784
)O)N2,5,3785
)O)N2C,5,3786
)O)N2C(,5,3787
)O)N2C(=,5,3788
)O)N2C(=O,5,3789
)O)N2C(=O),5,3790
O)N2C(=,5,3791
O)N2C(=O,5,3792
O)N2C(=O),5,3793
O)N2C(=O)[,5,3794
)N2C(=,5,3795
)N2C(=O,5,3796
)N2C(=O),5,3797
)N2C(=O)[,5,3798
)N2C(=O)[C,5,3799
Cc3ccc,5,3800
3)[C@@,5,3801
3)[C@@H,5,3802
3)[C@@H],5,3803
c1cc(C,5,3804
/C=C/C(C,5,3805
/C=C/C(C),5,3806
/C=C/C(C)=,5,3807
C=C/C(C,5,3808
C=C/C(C),5,3809
C=C/C(C)=,5,3810
C=C/C(C)=C,5,3811
=C/C(C,5,3812
=C/C(C),5,3813
=C/C(C)=,5,3814
=C/C(C)=C,5,3815
C/C(C,5,3816
C/C(C),5,3817
C/C(C)=,5,3818
C/C(C)=C,5,3819
/C(C,5,3820
/C(C),5,3821
/C(C)=,5,3822
/C(C)=C,5,3823
C/C=C/C,5,3824
=C/C(=O,5,3825
=C/C(=O),5,3826
C/C(=O,5,3827
C/C(=O),5,3828
/C(=O,5,3829
/C(=O),5,3830
)c(C),5,3831
)c(C)c,5,3832
)c2c(c,5,3833
C)[C@H]1C,5,3834
)[C@H]1CC,5,3835
CCC(C,5,3836
CCC(C),5,3837
=C[C@H,5,3838
=C[C@H],5,3839
c1cccc2c1,5,3840
c1cccc2c1C,5,3841
1cccc2c1,5,3842
1cccc2c1C,5,3843
O)C2,5,3844
ccc(OCCN,5,3845
cc(OCCN,5,3846
CCN2,5,3847
CCN2C,5,3848
CCN2CC,5,3849
N2CCC,5,3850
2CCCC,5,3851
CC2)cc,5,3852
CC2)cc1,5,3853
cccc2C,5,3854
ccc2C,5,3855
cc2C,5,3856
Cl)c1,5,3857
l)c1,5,3858
c1C(=O)N[,5,3859
c1C(=O)N[C,5,3860
1C(=O)N[,5,3861
1C(=O)N[C,5,3862
1C(=O)N[C@,5,3863
]1C(=O)N2[,5,3864
1C(=O)N2[,5,3865
1C(=O)N2[C,5,3866
@H]1S,5,3867
@H]1SC,5,3868
@H]1SC(,5,3869
@H]1SC(C,5,3870
@H]1SC(C),5,3871
@H]1SC(C)(,5,3872
H]1S,5,3873
H]1SC,5,3874
H]1SC(,5,3875
H]1SC(C,5,3876
H]1SC(C),5,3877
H]1SC(C)(,5,3878
H]1SC(C)(C,5,3879
]1S,5,3880
]1SC,5,3881
]1SC(,5,3882
]1SC(C,5,3883
]1SC(C),5,3884
]1SC(C)(,5,3885
]1SC(C)(C,5,3886
]1SC(C)(C),5,3887
1SC,5,3888
1SC(,5,3889
1SC(C,5,3890
1SC(C),5,3891
1SC(C)(,5,3892
1SC(C)(C,5,3893
1SC(C)(C),5,3894
1SC(C)(C)[,5,3895
SC(,5,3896
SC(C,5,3897
SC(C),5,3898
SC(C)(,5,3899
SC(C)(C,5,3900
SC(C)(C),5,3901
SC(C)(C)[,5,3902
SC(C)(C)[C,5,3903
@H]2C(=O)O,5,3904
H]2C(=O)O,5,3905
]2C(=O)O,5,3906
2C(=O)O,5,3907
CCCCCC(,5,3908
)NC[C@@,5,3909
)NC[C@@H,5,3910
)NC[C@@H],5,3911
)NC[C@@H](,5,3912
NC[C@@H](O,5,3913
[C@@H](O)c,5,3914
C@@H](O)c,5,3915
C@@H](O)c1,5,3916
@@H](O)c,5,3917
@@H](O)c1,5,3918
@@H](O)c1c,5,3919
\C(=,5,3920
\C(=O,5,3921
\C(=O),5,3922
OC(C)=,5,3923
OC(C)=O,5,3924
C(C)=O)C,5,3925
(C)=O)C,5,3926
C)=O)C,5,3927
csc,5,3928
CC(=O)Oc,5,3929
CC(=O)Oc1,5,3930
CC(=O)Oc1c,5,3931
C(=O)Oc1,5,3932
C(=O)Oc1c,5,3933
(=O)Oc1,5,3934
(=O)Oc1c,5,3935
=O)Oc1,5,3936
=O)Oc1c,5,3937
O)Oc1,5,3938
O)Oc1c,5,3939
)Oc1,5,3940
)Oc1c,5,3941
ccc1C,5,3942
cc1C(,5,3943
+]C,5,3944
]C,5,3945
CCCCC(=,5,3946
CCCCC(=O,5,3947
CCCCC(=O),5,3948
H](O)COc1c,5,3949
](O)COc1c,5,3950
](O)COc1cc,5,3951
(O)COc1c,5,3952
(O)COc1cc,5,3953
(O)COc1ccc,5,3954
nc(-c2cc,5,3955
nc(-c2ccc,5,3956
Cc1cn,5,3957
)c1ccc(C,5,3958
cc(C(=O)N,5,3959
)N[C@H](,5,3960
)N[C@H](C,5,3961
[C@H](CC,5,3962
C@H](CC,5,3963
c2ccccc2)c,5,3964
2ccccc2)c,5,3965
ccccc2)c,5,3966
cccc2)c,5,3967
ccc2)c,5,3968
cc2)CC,5,3969
c2)CC1,5,3970
O)c3ccccc3,5,3971
@H]3[C@@,5,3972
@H]3[C@@H,5,3973
@H]3[C@@H],5,3974
H]3[C@@,5,3975
H]3[C@@H,5,3976
H]3[C@@H],5,3977
]3[C@@,5,3978
]3[C@@H,5,3979
]3[C@@H],5,3980
@H]4C,5,3981
H]4C,5,3982
]4C,5,3983
3(C),5,3984
[C@]2(C,5,3985
C@]2(C,5,3986
C(=O)CO,5,3987
(=O)CO,5,3988
=O)CO,5,3989
(C(N,5,3990
(C(N),5,3991
(C(N)=,5,3992
(C(N)=O,5,3993
(C(N)=O),5,3994
(C(C,5,3995
(C(C),5,3996
)=O)CC,5,3997
)[C@@H]3,5,3998
([C@@,5,3999
([C@@H,5,4000
([C@@H],5,4001
Oc1ccc2c,5,4002
C(=O)c2cc,5,4003
(=O)c2ccc,5,4004
=O)c2ccc,5,4005
CN3,5,4006
CN3C,5,4007
2)[,5,4008
2)[C,5,4009
2)[C@,5,4010
O[C@@H](C,5,4011
@H](CO)[,5,4012
@H](CO)[C,5,4013
@H](CO)[C@,5,4014
H](CO)[,5,4015
H](CO)[C,5,4016
H](CO)[C@,5,4017
](CO)[,5,4018
](CO)[C,5,4019
](CO)[C@,5,4020
CO)[C@H,5,4021
CO)[C@H],5,4022
CO)[C@H](,5,4023
CCS,5,4024
CS(,5,4025
CS(=,5,4026
CS(=O,5,4027
CS(=O),5,4028
CS(=O)(,5,4029
CS(=O)(=,5,4030
CS(=O)(=O,5,4031
CS(=O)(=O),5,4032
C(=O)/,5,4033
(=O)/,5,4034
=O)/,5,4035
O)/C,5,4036
(C)c2,5,4037
@H](c,5,4038
H](c,5,4039
](c,5,4040
Cl)C,5,4041
l)C,5,4042
c(OC)c(,5,4043
(OC)c(,5,4044
OC)c(,5,4045
)c(OC)cc,5,4046
C[C@@]12,5,4047
C[C@@]12C,5,4048
[C@@]12C,5,4049
C@@]12C,5,4050
@@]12C,5,4051
@]12CC[C@H,5,4052
]12CC[C@H,5,4053
]12CC[C@H],5,4054
12CC[C@H,5,4055
12CC[C@H],5,4056
12CC[C@H]3,5,4057
2CC[C@H]3,5,4058
C[C@H]3c,5,4059
C[C@H]3c4,5,4060
C[C@H]3c4c,5,4061
[C@H]3c,5,4062
[C@H]3c4,5,4063
[C@H]3c4c,5,4064
[C@H]3c4cc,5,4065
C@H]3c,5,4066
C@H]3c4,5,4067
C@H]3c4c,5,4068
C@H]3c4cc,5,4069
C@H]3c4ccc,5,4070
@H]3c4,5,4071
@H]3c4c,5,4072
@H]3c4cc,5,4073
@H]3c4ccc,5,4074
H]3c4,5,4075
H]3c4c,5,4076
H]3c4cc,5,4077
H]3c4ccc,5,4078
]3c4,5,4079
]3c4c,5,4080
]3c4cc,5,4081
]3c4ccc,5,4082
3c4cc,5,4083
3c4ccc,5,4084
c4ccc(O,5,4085
4ccc(O,5,4086
)cc4C,5,4087
cc4C,5,4088
[C@H]3[,5,4089
[C@H]3[C,5,4090
[C@H]3[C@,5,4091
C@H]3[,5,4092
C@H]3[C,5,4093
C@H]3[C@,5,4094
C[C@@H]2O,5,4095
[C@@H]2O,5,4096
C@@H]2O,5,4097
@@H]2O,5,4098
C)[C@H](,5,4099
)nc1,5,4100
)c(=,5,4101
)c(=O,5,4102
)c(=O),5,4103
-c3,5,4104
cc3)cc,5,4105
@H](OC,5,4106
H](OC,5,4107
](OC,5,4108
cc(N(C),5,4109
c(N(C),5,4110
(N(C)C,5,4111
)CN,5,4112
CNC(C,5,4113
CNC(C),5,4114
)CCN,5,4115
C(=O)c3,5,4116
C(=O)c3c,5,4117
C(=O)c3cc,5,4118
C(=O)c3ccc,5,4119
[C@@H]1[,5,4120
[C@@H]1[C,5,4121
[C@@H]1[C@,5,4122
C@@H]1[,5,4123
C@@H]1[C,5,4124
C@@H]1[C@,5,4125
@@H]1[,5,4126
@@H]1[C,5,4127
@@H]1[C@,5,4128
1[C@@,5,4129
1[C@@H,5,4130
1[C@@H],5,4131
@H]2CC,5,4132
H]2CC,5,4133
]2CC,5,4134
CC[C@H]1,5,4135
/C=C/c,5,4136
C=C/c,5,4137
C)cc(O,5,4138
C)cc(OC,5,4139
)cc(O,5,4140
)cc(OC,5,4141
[C@@](,5,4142
C@@](,5,4143
@@](,5,4144
(CCO),5,4145
(N2,5,4146
(N2C,5,4147
[C@](,5,4148
C@](,5,4149
#CC,5,4150
N2CCN,5,4151
CN[C@@,5,4152
)C2),5,4153
F)cc2,5,4154
)cc2)C,5,4155
1[C@H,5,4156
1[C@H],5,4157
C=C1,5,4158
1CCCC1,5,4159
c(Cl)cc2,5,4160
(Cl)cc2,5,4161
Cl)cc2,5,4162
l)cc2,5,4163
c(Nc2,5,4164
CCNC(=,5,4165
CCNC(=O,5,4166
CCNC(=O),5,4167
CCNC(=O)c,5,4168
32,5,4169
O)c1cccc,5,4170
CCc2,5,4171
c3[n,5,4172
c3[nH,5,4173
c3[nH],5,4174
3[n,5,4175
3[nH,5,4176
3[nH],5,4177
F)ccc,5,4178
)ccc2,5,4179
@]2(C),5,4180
@]2(C)[,5,4181
@]2(C)[C,5,4182
@]2(C)[C@,5,4183
]2(C),5,4184
]2(C)[,5,4185
]2(C)[C,5,4186
]2(C)[C@,5,4187
2(C)[,5,4188
2(C)[C,5,4189
2(C)[C@,5,4190
Nc2c,5,4191
(C)C(,5,4192
(C)C(=,5,4193
(C)C(=O,5,4194
(C)C(=O),5,4195
N=C(N,5,4196
N=C(N),5,4197
=C(N),5,4198
N(c,5,4199
N(c2,5,4200
nc4,5,4201
c1ccc2c(c,5,4202
c1ccc2c(c1,5,4203
1ccc2c(c,5,4204
1ccc2c(c1,5,4205
1ccc2c(c1),5,4206
ccc2c(c,5,4207
ccc2c(c1,5,4208
ccc2c(c1),5,4209
cc2c(c1,5,4210
cc2c(c1),5,4211
1cnc2c,5,4212
c2nccc,5,4213
c2nccc(,5,4214
2nccc,5,4215
2nccc(,5,4216
(C)n,5,4217
N4,5,4218
N4C,5,4219
N4CC,5,4220
cc23,5,4221
cc23),5,4222
Oc3,5,4223
4)cc,5,4224
c(Nc3ccc,5,4225
(Nc3ccc,5,4226
c(F)c(,5,4227
(F)c(,5,4228
3)CC,5,4229
