Subsequence,Frequency,Rank
H](O)[C@@H,16,836
](O)[C@@H,16,837
](O)[C@@H],16,838
(O)[C@@H,16,839
(O)[C@@H],16,840
C[C@H](O),16,841
)CO,16,842
O)c2c,16,843
cc1C,16,844
2(,16,845
c(=O)c,16,846
=O)c2,16,847
@]12,16,848
CC),16,849
C(C)NC,16,850
)NC(,16,851
C(C)C,16,852
1(C,16,853
)O[,16,854
)O[C,16,855
)O[C@,16,856
(C(=O)N,16,857
4cc,16,858
O)CC[,16,859
O)CC[C,16,860
O)CC[C@,16,861
N[C@@H,16,862
N[C@@H],16,863
2C(=,16,864
2C(=O,16,865
2C(=O),16,866
3[C,16,867
3[C@,16,868
@H](NC,16,869
H](NC,16,870
/C=C/,16,871
C=C/,16,872
=C/C,16,873
(C)[C@@,16,874
C(N),16,875
)cc3,16,876
C)cc,16,877
cc4,16,878
@H]1O,15,879
H]1O,15,880
]1O,15,881
n(,15,882
=C\,15,883
=C\C,15,884
C\,15,885
C\C,15,886
(=O)c2,15,887
(C)(C)C,15,888
C)(C)C,15,889
)(C)C,15,890
)(=O)=,15,891
)(=O)=O,15,892
N)c,15,893
cc(Cl,15,894
cc(Cl),15,895
cc(Cl)c,15,896
Cl)cc,15,897
l)cc,15,898
cc(-c,15,899
c(-c2cc,15,900
(-c2cc,15,901
cc(C(,15,902
2)cc1,15,903
@]12C,15,904
]12C,15,905
12C,15,906
C[C@@H](O,15,907
C[C@@H](O),15,908
O=C,15,909
1N,15,910
c2ccccc2),15,911
2ccccc2),15,912
ccccc2),15,913
cccc2),15,914
ccc2),15,915
/C(,15,916
=O)C1,15,917
O)C1=,15,918
)C1=,15,919
(C(=O)OC,15,920
@]1(,15,921
]1(,15,922
C[C@H]1,15,923
[C@@H]2[,15,924
[C@@H]2[C,15,925
[C@@H]2[C@,15,926
C@@H]2[,15,927
C@@H]2[C,15,928
C@@H]2[C@,15,929
@@H]2[,15,930
@@H]2[C,15,931
@@H]2[C@,15,932
[C@@H]3C,15,933
C@@H]3C,15,934
@@H]3C,15,935
c4cc,15,936
@H](C),15,937
H](C),15,938
3CCC,15,939
C4=,15,940
4=,15,941
(c1,15,942
c2c(c,15,943
2c(c,15,944
CC(=O)C,15,945
NC[,15,946
NC[C,15,947
NC[C@,15,948
C(=O)[C@@,15,949
C(=O)[C@@H,15,950
(=O)[C@@,15,951
(=O)[C@@H,15,952
(=O)[C@@H],15,953
)cc2),15,954
[C@@H](NC,15,955
C@@H](NC,15,956
@@H](NC,15,957
](NC(,15,958
](NC(=,15,959
](NC(=O,15,960
](NC(=O),15,961
c3ccccc3),15,962
3ccccc3),15,963
ccccc3),15,964
cccc3),15,965
ccc3),15,966
[C@H]1CC,15,967
C@H]1CC,15,968
Nc1c,15,969
OCCN,15,970
c1c(,15,971
Cc2,15,972
C[C@@H]2,15,973
CC3,15,974
4CC,15,975
F)cc,15,976
(Nc,15,977
[C@H](O)C,14,978
C@H](O)C,14,979
O)CO,14,980
-]),14,981
]),14,982
c1cccc(,14,983
1cccc(,14,984
1=O,14,985
COC(=O)C,14,986
C(=O)CC,14,987
(=O)CC,14,988
NS(,14,989
)(=O)=O),14,990
(=O)=O),14,991
=O)=O),14,992
O)=O),14,993
c1nc(,14,994
1nc(,14,995
nc(N,14,996
c1ccc(C,14,997
1ccc(C,14,998
c(Cl)cc,14,999
(Cl)cc,14,1000
[C@H]3C,14,1001
C@H]3C,14,1002
C(F)(,14,1003
C(F)(F,14,1004
C(F)(F),14,1005
(F)(,14,1006
(F)(F,14,1007
(F)(F),14,1008
F)(,14,1009
F)(F,14,1010
F)(F),14,1011
)(F,14,1012
)(F),14,1013
)N1,14,1014
c(O)cc,14,1015
(O)cc,14,1016
C(=O)C1,14,1017
C(=O)C1=,14,1018
(=O)C1,14,1019
(=O)C1=,14,1020
=O)C1=,14,1021
)NC(C,14,1022
OC(C,14,1023
1c1,14,1024
1c1c,14,1025
)N2C,14,1026
N2C(,14,1027
S[C@@,14,1028
S[C@@H,14,1029
S[C@@H],14,1030
(Cc,14,1031
c(I,14,1032
c(I),14,1033
c(I)c,14,1034
(I,14,1035
(I),14,1036
(I)c,14,1037
I),14,1038
I)c,14,1039
#C,14,1040
C[C@]1,14,1041
CCC4,14,1042
C4=C,14,1043
4=C,14,1044
=CC,14,1045
cc2c(,14,1046
CCCCCC,14,1047
CCN(CC,14,1048
N1CC,14,1049
3)cc,14,1050
cc2)c,14,1051
@H](NC(,14,1052
@H](NC(=,14,1053
@H](NC(=O,14,1054
@H](NC(=O),14,1055
H](NC(,14,1056
H](NC(=,14,1057
H](NC(=O,14,1058
H](NC(=O),14,1059
(OC(,14,1060
2cc(,14,1061
)c1C,14,1062
1CCC,14,1063
(C)[C@@H,14,1064
(C)[C@@H],14,1065
CCN(C),14,1066
CC3),14,1067
(=O)c1ccc,14,1068
=O)c1ccc,14,1069
2O,14,1070
4)c,14,1071
cnc2,13,1072
(CO,13,1073
)[C@@H](O,13,1074
n(C,13,1075
(O)[C@H,13,1076
(O)[C@H],13,1077
(=O)[O-]),13,1078
=O)[O-]),13,1079
O)[O-]),13,1080
)[O-]),13,1081
[O-]),13,1082
O-]),13,1083
CC(C)(,13,1084
c([,13,1085
C[C@H]2,13,1086
n1c,13,1087
[N+](,13,1088
N+](,13,1089
+](,13,1090
CCOC(,13,1091
(=O)OCC,13,1092
=O)OCC,13,1093
O)OCC,13,1094
)OCC,13,1095
Cc1ccc(,13,1096
ccc(Cl,13,1097
ccc(Cl),13,1098
ccc(Cl)c,13,1099
-c2ccc,13,1100
cc(C(=,13,1101
cc(C(=O,13,1102
cc(C(=O),13,1103
C(=O)O)c,13,1104
(=O)O)c,13,1105
=O)O)c,13,1106
O)O)c,13,1107
)O)c,13,1108
(c2,13,1109
C/C(,13,1110
O)C1=C,13,1111
O)C1=C(,13,1112
O)C1=C(C,13,1113
)C1=C,13,1114
)C1=C(,13,1115
)C1=C(C,13,1116
=C(C)N,13,1117
C(C)NC(,13,1118
(C)NC(,13,1119
C)NC(,13,1120
)NC(C),13,1121
C(C(=O)OC,13,1122
1c1cc,13,1123
1c1ccc,13,1124
1c1cccc,13,1125
c12,13,1126
C1(,13,1127
1(C),13,1128
SC,13,1129
O)N2C,13,1130
]21,13,1131
=O)[C@@H](,13,1132
1C(=O)N2,13,1133
@H]4,13,1134
H]4,13,1135
C(C)(C)C,13,1136
1CCN,13,1137
)c2ccc,13,1138
c2)C,13,1139
@H]1CC[,13,1140
@H]1CC[C,13,1141
@H]1CC[C@,13,1142
H]1CC[,13,1143
H]1CC[C,13,1144
H]1CC[C@,13,1145
]1CC[,13,1146
]1CC[C,13,1147
]1CC[C@,13,1148
CNC(=,13,1149
CNC(=O,13,1150
CNC(=O),13,1151
Nc3,13,1152
@H]2[C@@,13,1153
@H]2[C@@H,13,1154
@H]2[C@@H],13,1155
H]2[C@@,13,1156
H]2[C@@H,13,1157
H]2[C@@H],13,1158
]2[C@@,13,1159
]2[C@@H,13,1160
]2[C@@H],13,1161
[C@@H](NC(,13,1162
C@@H](NC(,13,1163
C@@H](NC(=,13,1164
@@H](NC(,13,1165
@@H](NC(=,13,1166
@@H](NC(=O,13,1167
NC(=O)[,13,1168
NC(=O)[C,13,1169
NC(=O)[C@,13,1170
)c3cccc,13,1171
)c3ccccc,13,1172
[C@@H]2C,13,1173
C@@H]2C,13,1174
@@H]2C,13,1175
)C(=O)O,13,1176
Nc1cc,13,1177
N2CC,13,1178
c1C(,13,1179
c21,13,1180
O)c3,13,1181
O)c3c,13,1182
CCN(C)C,13,1183
c(F)cc,13,1184
(F)cc,13,1185
cc(F,13,1186
cc(F),13,1187
cc(F)c,13,1188
c5,13,1189
nc2c,12,1190
[C@@H](O)[,12,1191
C@@H](O)[,12,1192
C@@H](O)[C,12,1193
@@H](O)[,12,1194
@@H](O)[C,12,1195
@@H](O)[C@,12,1196
@H](O)[C@H,12,1197
H](O)[C@H,12,1198
H](O)[C@H],12,1199
](O)[C@H,12,1200
](O)[C@H],12,1201
C=C\,12,1202
C=C\C,12,1203
CCC(=O)O,12,1204
](N),12,1205
Cc1cccc,12,1206
Cc1ccccc,12,1207
Cc1ccccc1,12,1208
cc([,12,1209
[C@]2,12,1210
C@]2,12,1211
(C)C)c,12,1212
C)C)c,12,1213
)C)c,12,1214
Cn,12,1215
(C)c1,12,1216
CCOC(=,12,1217
CCOC(=O,12,1218
CCOC(=O),12,1219
C(=O)OCC,12,1220
)=O)c,12,1221
O)cc1,12,1222
c1)C,12,1223
C[C@H]3,12,1224
)c1ccc(O,12,1225
cc(O)cc,12,1226
COC(=O)C1,12,1227
COC(=O)C1=,12,1228
OC(=O)C1,12,1229
OC(=O)C1=,12,1230
OC(=O)C1=C,12,1231
C(=O)C1=C,12,1232
C(=O)C1=C(,12,1233
(=O)C1=C,12,1234
(=O)C1=C(,12,1235
(=O)C1=C(C,12,1236
=O)C1=C,12,1237
=O)C1=C(,12,1238
=O)C1=C(C,12,1239
=O)C1=C(C),12,1240
O)C1=C(C),12,1241
O)C1=C(C)N,12,1242
)C1=C(C),12,1243
)C1=C(C)N,12,1244
)C1=C(C)NC,12,1245
C1=C(C),12,1246
C1=C(C)N,12,1247
C1=C(C)NC,12,1248
C1=C(C)NC(,12,1249
1=C(C),12,1250
1=C(C)N,12,1251
1=C(C)NC,12,1252
1=C(C)NC(,12,1253
1=C(C)NC(C,12,1254
=C(C)NC,12,1255
=C(C)NC(,12,1256
=C(C)NC(C,12,1257
=C(C)NC(C),12,1258
C(C)NC(C,12,1259
C(C)NC(C),12,1260
C(C)NC(C)=,12,1261
(C)NC(C,12,1262
(C)NC(C),12,1263
(C)NC(C)=,12,1264
(C)NC(C)=C,12,1265
C)NC(C,12,1266
C)NC(C),12,1267
C)NC(C)=,12,1268
C)NC(C)=C,12,1269
C)NC(C)=C(,12,1270
)NC(C)=,12,1271
)NC(C)=C,12,1272
)NC(C)=C(,12,1273
)NC(C)=C(C,12,1274
NC(C)=,12,1275
NC(C)=C,12,1276
NC(C)=C(,12,1277
NC(C)=C(C,12,1278
NC(C)=C(C(,12,1279
C(C)=C(,12,1280
C(C)=C(C,12,1281
C(C)=C(C(,12,1282
C(C)=C(C(=,12,1283
(C)=C(,12,1284
(C)=C(C,12,1285
(C)=C(C(,12,1286
(C)=C(C(=,12,1287
(C)=C(C(=O,12,1288
C)=C(,12,1289
C)=C(C,12,1290
C)=C(C(,12,1291
C)=C(C(=,12,1292
C)=C(C(=O,12,1293
C)=C(C(=O),12,1294
)=C(C(,12,1295
)=C(C(=,12,1296
)=C(C(=O,12,1297
)=C(C(=O),12,1298
)=C(C(=O)O,12,1299
=C(C(=O)OC,12,1300
OC(C),12,1301
@H]1c,12,1302
@H]1c1,12,1303
@H]1c1c,12,1304
H]1c,12,1305
H]1c1,12,1306
H]1c1c,12,1307
]1c,12,1308
]1c1,12,1309
]1c1c,12,1310
nc1,12,1311
C1(C,12,1312
N)(,12,1313
O)N2C(,12,1314
)N2C(,12,1315
C(C(=O)O),12,1316
[C@H]1C(,12,1317
C@H]1C(,12,1318
(S,12,1319
C#C,12,1320
[C@H]3CC,12,1321
C@H]3CC,12,1322
CCC4=,12,1323
CCC4=C,12,1324
CC4=,12,1325
CC4=C,12,1326
)C[C@@,12,1327
C)C(,12,1328
)C(C,12,1329
CC)C,12,1330
@H](O)c,12,1331
H](O)c,12,1332
](O)c,12,1333
(O)c1c,12,1334
(O)c1cc,12,1335
(O)c1ccc,12,1336
)N[C@H,12,1337
)N[C@H],12,1338
N3,12,1339
)c1cccc,12,1340
CC[C@],12,1341
COCC,12,1342
[C@@H]1CC,12,1343
C@@H]1CC,12,1344
@@H]1CC,12,1345
Nc3c,12,1346
(F)F,12,1347
F)F,12,1348
)F,12,1349
ccnc,12,1350
O)[C@@H](N,12,1351
)[C@@H](N,12,1352
)c3ccccc3,12,1353
C(=O)N2[,12,1354
C(=O)N2[C,12,1355
C(=O)N2[C@,12,1356
(=O)N2[,12,1357
(=O)N2[C,12,1358
(=O)N2[C@,12,1359
=O)N2[,12,1360
